['SN2023vbg', 'host', np.float64(298.98640049999966), np.float64(34.37501606), '']
['SN2023vbw', 'host', np.float64(56.5222814999997), np.float64(57.18211082), '']
['SN2023vek', 'host', np.float64(84.76811999999998), np.float64(-24.462369), '']
['SN2023ver', 'host', np.float64(148.7671133999999), np.float64(-0.510819979), '']
['SN2023vpd', 'host', np.float64(60.806710499999205), np.float64(19.50681627), '']
['SN2023vpe', 'host', np.float64(337.93030439999995), np.float64(16.25546307), '']
['SN2023vto', 'host', np.float64(92.1693315), np.float64(47.2226518), '']
['SN2023vuc', 'host', np.float64(206.70660719999998), np.float64(-15.25548732), '']
['SN2023vyl', 'host', np.float64(211.85401049999908), np.float64(17.22120934), '']
['SN2023wrk', 'host', np.float64(62.44811999999953), np.float64(58.553511), '']
['SN2023wtm', 'host', np.float64(21.989187149999903), np.float64(-0.104965681), '']
['SN2023wuk', 'host', np.float64(343.1492534999989), np.float64(29.38821674), '']
['SN2023xgg', 'host', np.float64(314.209995), np.float64(30.765069), '']
['SN2023xgo', 'host', np.float64(61.19945024999978), np.float64(67.62254083), '']
['SN2023xnl', 'host', np.float64(324.3557714999996), np.float64(-14.5287973), '']
['SN2023xqm', 'host', np.float64(219.68687999999955), np.float64(-27.650919), '']
['SN2023xqn', 'host', np.float64(30.632246624999997), np.float64(27.00369881), '']
['SN2023xrs', 'host', np.float64(261.24124499999994), np.float64(-20.809961), '']
['SN2023xxj', 'host', np.float64(278.8193699999993), np.float64(-33.401219), '']
['SN2023xxj', 'host', np.float64(278.8193699999993), np.float64(-33.401219), '']
['SN2023yoo', 'host', np.float64(273.9468749999991), np.float64(-13.274719), '']
['SN2023zaw', 'host', np.float64(290.01466649999975), np.float64(70.42708983), '']
['SN2023zaw', 'host', np.float64(290.01466649999975), np.float64(70.42708983), '']
['SN2023zaz', 'host', np.float64(175.9638730499999), np.float64(-26.05744245), '']
['SN2023zcu', 'host', np.float64(274.17679544999964), np.float64(-23.6747913), '']
['SN2023zcu', 'host', np.float64(274.17679544999964), np.float64(-23.6747913), '']
['SN2023zcu', 'host', np.float64(274.17679544999964), np.float64(-23.6747913), '']
['SN2023zcu', 'host', np.float64(274.17679544999964), np.float64(-23.6747913), '']
['SN2023zeu', 'host', np.float64(3.07804499999996), np.float64(1.584911), '']
['SN2023zzk', 'host', np.float64(100.79875799999985), np.float64(40.9886174), '']
['SN2024abbv', 'host', np.float64(128.056245), np.float64(-30.767939), '']
['SN2024abbv', 'host', np.float64(128.056245), np.float64(-30.767939), '']
['SN2024abbv', 'host', np.float64(128.056245), np.float64(-30.767939), '']
['SN2024abbv', 'host', np.float64(128.056245), np.float64(-30.767939), '']
['SN2024abbv', 'host', np.float64(128.056245), np.float64(-30.767939), '']
['SN2024abbv', 'host', np.float64(128.056245), np.float64(-30.767939), '']
['SN2024abbv', 'host', np.float64(128.056245), np.float64(-30.767939), '']
['SN2024abfl', 'host', np.float64(337.5712499999998), np.float64(78.367089), '']
['SN2024abfl', 'host', np.float64(337.5712499999998), np.float64(78.367089), '']
['SN2024abfl', 'host', np.float64(337.5712499999998), np.float64(78.367089), '']
['SN2024abfo', 'host', np.float64(170.3513536499999), np.float64(-46.18546263), '']
